"Model","Language Support","Size (B)","Quantized Size (AWQ)","Russian Quality","Context Window","GPU Memory Req","Inference Speed (tok/s)","Use Case","License"
"Qwen 2.5 7B","Multilingual","7","1.8GB","Excellent","32k","6GB","25","General purpose","MIT"
"Qwen 2.5 14B","Multilingual","14","3.5GB","Excellent","32k","14GB","15","Complex tasks","MIT"
"Qwen 2.5 32B","Multilingual","32","8GB","Excellent","32k","24GB","10","High complexity","MIT"
"DeepSeek-V3 67B","Multilingual","67","17GB","Good","128k","40GB","8","Long context","Apache 2.0"
"Saiga 13B","Russian focused","13","3.2GB","Very Good","4k","8GB","20","Russian specific","Apache 2.0"
"Salmonn 7B","Multilingual ASR","7","1.8GB","Good","32k","6GB","25","Audio processing","MIT"
"SOLAR 10.7B","Multilingual","10.7","2.7GB","Good","4k","8GB","18","Balanced","Commercial*"
"Yi-Large","Multilingual","Unknown","Unknown","Good","Unknown","Unknown","Unknown","Enterprise","Commercial"
"Baichuan2 13B","Chinese/Russian","13","3.2GB","Good","4k","8GB","18","Asian languages","Apache 2.0"
"ChatGLM3 6B","Chinese/Russian","6","1.5GB","Good","8k","4GB","30","Efficient","Apache 2.0"
