"Component","Resource Type","Requirement","Notes"
"vLLM Inference Service","GPU Memory","24GB (RTX 4090)","For Qwen 2.5 7B AWQ model"
"vLLM Inference Service","VRAM","18GB recommended","For safe inference with KV-cache"
"Qdrant Vector DB","RAM","16GB minimum","Per million vectors"
"Qdrant Vector DB","Storage","500GB SSD","For vector embeddings storage"
"Neo4j Graph DB","RAM","32GB minimum","For graph traversal performance"
"Neo4j Graph DB","Storage","1TB HDD/SSD","For graph data and indexes"
"LangGraph Orchestrator","RAM","8GB minimum","For state management"
"LangGraph Orchestrator","CPU","4 cores","For concurrent request handling"
"API Gateway","RAM","4GB","For request routing and auth"
"Total System","RAM","60GB+","Sum of all components"
"Total System","GPU","RTX 4090 (24GB)","Primary inference accelerator"
"Network","Bandwidth","1 Gbps","Internal cluster communication"
"Storage","Total","1.5TB+","Combined storage for all services"
"Expected Performance","QPS","10-15","Queries per second with current config"
"Expected Performance","Latency","<3 seconds","P95 response time"
